id,question,A,B,C,D,answer
0,"异地从事临时经营活动的单位申请开立临时存款账户,应向银行出具下列证明文件",基本存款账户开户许可证,驻在地主管部门同意设立临时机构的批文,营业执照正本,临时经营地工商行政管理部门的批文,ACD
1,对个人代理多人办理借记卡的，发卡银行应全面了解审查代理人（     ）等情况。对理由明显不正当的，应拒绝发卡。,职业背景、代理办理的目的,性质,原因,理由,ABD
2,居住在中国境内16岁以上的中国公民储户提前支取未到期定期储蓄存款，无法律依据的证明是（ ）。,户籍证明,暂住证,居民身份证领取凭证,户口簿,ABCD
3,扣收定期存款偿还贷款时，系统支持对（ ）进行扣收。,存单、借记卡、存折内的已到期定期存款,定活两便存款,未设定自动转存的通知存款,大额存单存款,ABCD
4,银行卡按载体不同分为（ ）。,磁条卡,联名卡,芯片卡,非联名卡,AC
5,库房管理应达到“无火灾、无霉烂、（  ）”的要求。,无虫蛀,无鼠咬,无盗窃,无差错事故,ABCD
6,浙江农信丰收互联APP可分为（ ）。,手机银行大众版,手机银行专业版,手机银行标准版,手机银行简易版,AB
7,汇票包括(   )。,银行汇票,商业汇票,银行承兑汇票,商业承兑汇票,AB
8,客户欲办理电费缴费签约，可通过浙江农信系统哪些渠道实现？（ ）,网上银行,微信银行,自助终端,手机银行,ABCD
9,表内科目是指列入资产负债表和损益表内的，用来控制和反映（）资产负债共同类、所有者权益类和数字资料的会计科目,资产,负债,损益类,现金类,ABC
10,下列各项中，属于反映财务状况的会计要素有（ ）。,资产,收入,负债,费用,AC
11,按照作业水平的不同可将作业分为（   ）。,单位水平作业,批次水平作业,产品水平作业,维持水平作业,ABCD
12,协助有权机关办理冻结业务时，经办人员应核实（ ）。,工作证或执行公务证,身份证,协助冻结存款通知书,冻结存款裁定书或决定书,ACD
13,综合核算是按科目进行的核算，反映各科目资金增减变化及其结果的总括情况，是明细核算的概括和综合，主要包括()、（）和（）等。,科目日结汇总表,总账,日计表,结算凭证,ABC
14,会计职业道德教育的途径包括（ ）。,会计学历教育,会计专业技术资格考试,会计人员自我教育,会计人员继续教育,ACD
15,针对POS机套现案件的特点，金融机构应从以下几方面强化管理、加强监测、防范风险，下列表述正确的有（ ）。,加强POS机办理、开通和使用管理。,加大特约商户管理系统的更新改造力度，限制POS机拆迁功能。,定期对特约商户进行巡检和回访，确保交易的真实背景。,对已布放的POS机可以适当放宽检查力度，无需定期回访。,ABC
16,应收账款周转率高说明（    ）。,收账迅速,短期偿债能力强,收账费用增加,坏账损失减少,ABD
17,提高技能要求会计人员（ ）。,增强提高专业技能的自觉性,增强提高专业技能的紧迫感,勤学苦练，刻苦钻研，开拓进取,不断提高业务水平,ABCD
18,影响利润中心考核指标完成的因素主要有 （  ）。,销售价格,销售数量,各项成本,产品品种结构,ABCD
19,下列既有查询权，又有冻结权的机构有（ ）。,审计机关,监狱,监察机关,证券监督管理机关,BCD
20,发卡机构可以通过下列（ ）方式审查申领人及其担保情况。,电话核实,信函调查,当面核实,利用联网核查系统等进行核实,ABCD
21,客户身份识别中的非面对面识别要求是指，银行利用电话、网络、ATM等自助机具以及其他方式为客户提供非柜台方式的服务时，应采用如下哪些手段识别客户身份。（ ）,实行严格的身份认证措施,强化内部管理程序,采取相应的技术保障手段,便捷的内部管理程序,ABC
22,省内营业网点开立的个人银行结算账户，凭其存折（卡）及密码通过他省系统内机构柜面办理现金和转账取款业务的，单笔和日累计最高交易金额分别为（）,5万元,10万元,50万元,100万元,CD
23,下列各项中，属于《会计法》适用范围的是（ ）。,各级人民政府,农村集体经济组织,合伙企业,在我国境内的外商独资企业,ABCD
24,农村合作金融机构股东持有的股金，经董（理）事会或授权的董（理）事长同意，并按规定办理登记手续后，可依法（ ）。,赠予,继承,全额退股,转让,ABD
25,营业机构通过所属法人机构以正式文件向当地人民银行提交申请，并提交以下（   ）资料。,申请加入支付系统申请书,营业执照正本、金融许可证复印件,银监局批准办理支付结算业务的文件复印件，如营业机构开业批复,人民银行要求提供的其他资料,ABCD
26,内部账账务处理类型分为（ ）等业务。,内部账转内部账,内部账跨机构转账,表外收付业务,内部账提出交换业务,ABCD
27,以下关于每股收益的计算公式中，正确的有（   ）。,每股收益＝净资产收益率x权益乘数x平均每股净资产,每股收益＝总资产净利率x权益乘数x平均每股净资产,每股收益＝主营业务净利率x总资产周转率x权益乘数x平均每股净资产,每股收益＝总资产净利率x平均每股净资产,BC
28,财务预算包括（          ）,资金收支预算,财务状况预算,经营成果预算,投融资决策预算,ABC
29,与完全成本法相比较，变动成本法的特点有（           ）。,须把成本分为固定成本和变动成本,产品成本只包括变动生产成本,期间成本包括固定生产成本和非生产成本,计算的销货成本较完全成本法低,ABCD
30,在为现金类自助设备清加钞时，应坚持（  ）原则。,双人操作,事前查询,交叉复核,主管复核,AC
31,下列关于车船税的税务处理方法，符合车船税法规定的有（）。,医院救护车免征车船税,境内单位租入外国籍船舶的，免征车船税,客货两用车依照货车的计税单位和年基准税额计征车船税,依法不需要办理登记的车船，车船税的纳税地点为车船的所有人或管理人所在地,CD
32,反映企业盈利能力的指标包括（   ）。,盈余现金保障倍数,资本保值增值率,资本积累率,每股收益,ABD
33,系统自动扣收是指贷款发放时设定为自动扣款的，则系统在约定扣款日进行自动扣款，包括(   )三种情况。,借款人主动还款,自动扣本,自动扣息,自动扣本息,B，C，D
34,个人活期存折户转为借记卡账户有下列情况的账户不允许办理折转卡业务（ ）。,当日账户发生账务类交易已抹账,账户状态为挂失、止付、冻结等异常情况,外币账户或包含外币账户的活期一本通账户,当日账户发生账务类交易,BCD
35,实体印章是指配备印章实物的柜面业务印章，包括业务专用章、汇票专用章、本票专用章、结算专用章、假币章、货币真伪鉴定专用章、全额章、半额章、（）等。,代理财税专用章,回单专用章,对账专用章,已电子登记权属章,AD
36,若现金附柜保险柜使用密码的，由加钞人员负责保管、修改密码（含密码棒）。以下说法正确的有（  ）,钥匙和密码由双人分管分用，平行交接。,密码每月至少更换一次,加钞人员发生变更，接交人员必须立即更换保险柜密码,对密码进行轮班管理的，轮班时可不更改密码，交接双方作好交接登记手续,ABCD
37,进项税额，指纳税人购进（     ），支付或者负担的增值税额。,货物,加工修理修配劳务,服务,无形资产或者不动产,ABCD
38,银行通过账户管理系统审核企业基本存款账户唯一性时，应当在系统中准确录入（    ）等信息。,账号,企业名称,统一社会信用代码,注册地地区代码,BCD
39,会计检查可采取的方式有（ ）。,现场检查,突击检查,非现场检查,专项检查,AC
40,下列关于《个人所得税专项附加扣除暂行办法》的说法正确的是（     ）,《个人所得税专项附加扣除暂行办法》中所称的专项附加扣除，包括个人所得税法规定的子女教育、继续教育、大病医疗、住房贷款利息或者住房租金、赡养老人等6项内容。,纳税人的子女接受全日制学历教育的相关支出，按照每个子女每月1000元的标准定额扣除；年满3岁至小学入学前处于学前教育阶段的子女，也可按此标准扣除。,纳税人接受技能人员职业资格继续教育、专业技术人员职业资格继续教育的支出，在取得相关证书的当年，按照4800元定额扣除。,纳税人在主要工作城市没有自有住房而发生的住房租金支出，可以按照一定标准定额扣除,ABD
41,Ⅱ类户非绑定账户转入资金、存入现金日累计限额合计为（）万元，年累计限额合计为（）万元。,1万元,5万元,10万元,20万元,AD
42,对个人存款账户单笔金额超过5万元（含）的现金存取，银行应（ ）,核对客户的有效身份证件或其他身份证明文件,若是身份证，则通过联网核查无误后方可支付,如为代办，可只审核代理人身份，不必审核被代理人身份,如为代办，应同时审核代理人和被代理人身份,ABD
43,001413账户信息维护交易可以修改      等字段。（     ）,不可销户存款个数,不可销户中间业务个数,不可销户贷款个数,不可销户结算个数,ACD
44,下列关于资产的企业所得税税务处理的说法，正确的有（）。,外购商誉的支出在企业整体转让时准予扣除,租入资产的改建支出应作为长期待摊费用摊销扣除,企业持有至到期投资成本按照预计持有期限分期摊销扣除,固定资产大修理支出按照尚可使用年限分期摊销扣除,ABD
45,根据《关于规范办理已故存款人小额存款提取业务有关事项的通知》（鲁农信联运营〔2021〕29号），为提升客户体验、规范账户管理、防范账户业务风险，在办理已故存款人小额存款提取业务时，受理营业机构原则上应对已故存款人在本法人机构的存量账户一次性应销尽销。对于本营业机构无法注销的账户，应采取以下措施（ ）。,通知开户机构对账户进行借贷记控制并记录控制原因,告知提取申请人到指定营业机构办理结清销户,拒绝办理小额存款提取业务，并向申请人做好解释,提交法人机构总部协调有关营业机构办理结清销户,ABD
46,开立个人人民币储蓄账户或结算账户时，银行应重点关注（ ）。,大额现金开户,异常开户,存款的资金来源、金额与存款人身份背景、职业背景、收入情况是否相符,一般存款账户,ABC
47,关于移动式智慧柜员机使用完毕管理要求，表述正确的有（ ）。,应及时交回。交回时，营业网点设备保管人员要及时检验设备组件是否完好。,检查VPN卡卡糟处封签是否完好，确保无私自插拔无线上网卡的情况，检查完毕后将移动智慧柜员机加锁妥善保管。,移动式智慧柜员机或VPN无线上网卡遗失时，必须立即上报各农商银行主管部门，同时书面报告遗失情况。,移动式智慧柜员机或VPN无线上网卡遗失时，运营管理部门负责立即对设备进行注销，信息科技部门负责立即对无线上网卡进行停用。,ABCD
48,变造的货币是指在真币的基础上，利用挖补、揭层、涂改、（ ）等多种方法制作，改变真币原形态的假币。,拼凑,移位,扫描,重印,ABD
49,金融服务，是指经营金融保险的业务活动。包括（   ）。,贷款服务,直接收费金融服务,保险服务,金融商品转让,ABCD
50,在香港合法注册成立的香港某电子有限公司，可以向我行申请开立（    ）人民币银行结算账户。,基本存款账户,一般存款账户,专用存款账户,临时存款账户,ABC
51,非居民企业因会计账簿不健全，资料残缺难以查账，不能准确计算并据实申报其应纳税所得额，税务机关有权采取以下（）方法核定其应纳税所得额。,按收入总额核定,按成本费用核定,按经费支出换算收入核定,按照上期应纳税所得额直接核定,ABC
52,丰收贷记卡过期卡不可以办理以下哪些业务（ ）,存款,取款,卡转出业务,以上都不对,BC
53,内部转移价格的类型包括(      ).。,市场价格,协商价格,标准成本,双重价格,ABCD
54,以下业务宣传费中，可抵扣进项的有：（     ）。,购买的普通宣传品取得的增值税专用发票,购买购物卡取得增值税专用发票,购买的农产品取得的增值税专用发票、农产品收购发票,购买加油卡无法取得增值税专用发票,AC
55,下列说法正确的是（  ）,临柜办理现金业务应在客户视线以内进行，做到当面点准，一笔（户）一清。,一次现金收入数量较大，一人当面清点有困难的，在不影响其他等待客户的前提下，征得客户同意后，由两个或两个以上前台及后台人员共同清点。,一次性存入大量零币或残损币时，在征得客户同意后，营业机构可灵活进行处理。,后台清点时坚持“谁清点、谁签章、谁负责”的原则。,ABCD
56,下列关于现金收、付款程序的叙述正确的是（ ）。,现金收入必须“先记账，后收款”,现金付出必须“先记账，后付款”,现金收入必须“先收款，后记账”,现金付出必须“先付款，后记账”,BC
57,以下属于会计检查实施阶段的是（ ）。,检查分工,资料调阅,发出检查通知,实施检查（现场或非现场）,ABD
58,管理会计与财务会计的联系表现在（       ）。,起源相同,最终目标相同,基本信息相同,服务对象交叉,ABCD
59,下列可直接办理现金调拨是（ ）。,县级清算中心与辖内各网点,信用社/支行与其管辖的网点,中心库与其管辖的营业机构,同一支行分理处与分理处,ABC
60,在成本预测中，（            ）是根据已有的历史资料，运用数据统计的方法进行预测的。,高低点法,回归分析法,目标成本预测法,移动加权平均法,AD
61,有权机关办理查询时，可对存款人资料进行（ ）。,复印,照相,抄阅,借走,ABC
62,按规定，以下应由信用联社（商业银行）统一刻制的印章有（ ）。,汇票专用章,结算专用章,业务公章,清讫章,BCD
63,下列关于手续费及佣金支出的企业所得税务处理，正确的有（）。,企业计入固定资产的手续费及佣金支出应通过折旧方式分期扣除,电信企业按照企业当年收入总额的5%计算可扣除手续费及佣金限额,保险企业按照当年全部保费收入的18%计算可扣除佣金限额,保险企业超过规定标准的部分允许结转以后5个年度扣除,AB
64,农商行办理财税库银业务应遵循人民银行财税库银横向联网业务管理规定，及时接收、转发电子缴税信息，保证代扣税款及时、足额划缴国库，对开具电子缴税付款凭证的（  ）负责。,真实性,全面性,完整性,有效性,ACD
65,纳税人在主要工作城市没有自有住房而发生的住房租金支出，个人所得税专项扣除标准是：市辖区户籍人口超过100万的城市，为每月（    ）元，市辖区户籍人口不超过100万的城市，为每月（    ）元,1100,800,1200,1500,AB
66,商业银行服务价格行为应当严格遵守国家法律、法规、规章和有关监管规定，遵循（）的原则，接受社会监督。,公开,公平,诚实,信用,ABCD
67,下列关于非货币资产损失的确认，表述正确的有（）。,存货盘亏损失，为其盘亏金额扣除责任人赔偿后的余额,存货报废、毁损或变质损失，为其计税成本扣除残值及责任人赔偿后的余额,存货被盗损失，为其计税成本扣除保险理赔以及责任人赔偿后的余额,固定资产盘亏、丢失损失，为其账面净值扣除责任人赔偿后的余额,ABCD
68,下列哪些贷款到期（含展期到期）后系统自动将结息方式变更为定期结息。（ ）,期初付息期末还本,期末本息一次付清,等额类还款方式,按年结息,ABC
69,发卡银行应对同一持卡人名下的多个信用卡（    ）等合并管理，设定总授信额度上限。,账户授信额度,分期付款总体授信额度,附属卡授信额度,现金提取授信额度,ABCD
70,整存零取定期储蓄存款存期包括（ ）。,一年,二年,三年,五年,ACD
71,营业机构在假币收缴过程中不得有哪些行为（  ）。,发现假币不收缴的,未按照人民银行假币收缴的有关规定程序收缴假币的,应向人民银行和公安机关报告而不报告的,截留或私自处理收缴的假币，或使已收缴的假币重新流入市场,ABCD
72,客户小李申请开立借记卡，经办柜员小王通过联网核查公民身份信息系统查询小李的公民身份信息，并需要验证小李居民身份证所记载的（    ）等信息的真实性。,公民身份号码,签发机关,姓名,照片,ABCD
73,在编制生产预算时需要考虑的因素有（            ）。,预计期初存货量,预计销售量,预计期末存货量,预计现金流量,ABC
