id,question,A,B,C,D,answer
0,持票人应在提示付款期内向承兑人提示付款。提示付款期自票据到期日起（ ），最后一日遇法定休假日、大额支付系统非营业日、电子商业汇票系统非营业日顺延。,10日,10个工作日,3日,5日,A
1,变动成本法的产品成本是指（      ）。,固定非生产成本,变动非生产成本,固定生产成本,变动生产成本,D
2,下列选项中不属于企业股权投资损失确认的相关证据材料的是（）。,工商行政管理部门注销、吊销被投资单位营业执照文件,政府有关部门对投资单位的行政处理决定文件,股权投资计税基础证明材料,被投资企业破产公告、破产清偿文件,B
3,某市一商贸企业2020年末建成办公楼一栋，为建造办公楼新征一块土地，面积为45000平方米，土地单价为每平方米300元，房产建筑面积为20000平方米，建筑成本为2000万元，该办公楼使用年限为50年，计算该办公楼原值是（）万元。,2600,3000,3200,3350,C
4,可签约ETC的贷记卡卡产品为（  ）,单位公务卡,丰收贷记卡标准卡（包括个人公务卡）,大额分期卡,按日贷款卡,B
5,拒绝提供价格监督检查所需资料或者提供虚假资料的，责令改正，给予警告；逾期不改正的，可以处（）元以下的罚款，对直接负责的主管人员和其他直接责任人员给予纪律处分。,10万,20万,3万,5万,A
6,下列说法中，不符合资产收购企业所得税一般性税务处理规定的是（）。,被收购企业的相关所得税事项原则上应保持不变,收购企业取得资产的计税基础应以公允价值为基础确定,被收购企业应确认资产转让所得或损失,被收购企业原有的各项资产和负债应保持不变,D
7,付款行收到止付通知后，最迟应在(     )发出止付应答。,下一工作日11:00前,下一工作日12:00前,当日下午下班前,下一工作日9:30前,A
8,库箱挂起后，状态变更为（）。,代保管,在库,交接,正常,B
9,财政部门零余额账户的性质为（ ）,专用存款账户,临时存款账户,基本存款账户,一般存款账户,A
10,2020年甲居民企业（经认定为高新技术企业）从境外取得应纳税所得额100万元，企业申报已在境外缴纳的所得税税款为20万元，因客观原因无法进行核实。后经企业申请，税务机关核准采用简易方法计算境外所得税抵免限额。该抵免限额为（）万元。,20,25,12.5,15,C
11,"大额支付系统的运行工作日为国家法定工作日，每个工作日细分为七个阶段,正确的处理流程是(   )",营业准备→日间处理→业务截止→清算窗口→清算窗口预关闭→日终批处理→日终对账处理,营业准备→日间处理→业务截止→清算窗口预关闭→日终对账处理→清算窗口→日终批处理,营业准备→日间处理→业务截止→清算窗口→清算窗口预关闭→日终对账处理→日终批处理,营业准备→日间处理→业务截止→清算窗口预关闭→清算窗口→日终对账处理→日终批处理,C
