id,question,A,B,C,D,answer
0,对公负债的作用和意义包括（）,对公负债是银行经营发展的基础,对公负债是银行同企事业单位联系的主要渠道,对公负债业务是保持银行流动性的手段,对公负债的期限较短，整体成本低,ACD
1,商业银行向中央银行借款的途径有（）,再贴现,债券回购,再贷款,同业拆借,AC
2,工商物业置业贷采用的担保方式为（）,阶段性保证担保,信用方式,质押担保,抵押担保,AD
3,商业银行开展贷款业务应当遵守下列资产负债比例管理的规定：,资本充足率不得低于8%,流动性资产余额与流动性负债余额的比例不得低于25%,对同一借款人的贷款余额与商业银行资本余额的比例不得超过10%,国务院银行业监督管理机构对资产负债比例管理的其他规定,ABCD
4,广西农村合作金融机构转让信贷资产应当遵守整体性原则，即转让的信贷资产应当包括全部未偿还本金及应收利息，不得有下列情形？,将未偿还本金与应收利息分开,按一定比例分割未偿还本金或应收利息,将未偿还本金及应收利息整体按比例进行分割,将未偿还本金或应收利息进行期限分割,ABCD
5,《中华人民共和国民法典》规定：担保物权的担保范围包括（）。,主债权及其利息,违约金,损害赔偿金,保管担保财产和实现担保物权的费用,ABCD
6,影响利息保障倍数的主要因素有（）,税前利润,销售费用,所得税,利息费用,AD
7,结算套餐的特点为（）,本外币一体,产品组合,收费优惠,综合服务,ABD
8,办理出口票据贴现业务时，农行必须为出口票据贴现业务的（）,信用证项下交单行,跟单托收项下托收行,信用证项下通知行,信用证项下保兑行,ABCD
9,挂钩型理财产品的设计原理是通过金融衍生交易将理财产品的还本金额和（或）付息金融与某一特定资产的价格波动或者指数变化以及某些特定主体的信用等因素联系在一起。其中较为典型的联系方式有（ ）。,与利率挂钩,与汇率挂钩,与单只或者多只股票的价格挂钩,与特定商品（如石油、黄金等）的价格挂钩,ABCD
10,对公多利丰存款的期限包括下列哪些？ （ ）,6 个月,1 年,2 年,3 年,ABCD
11,现金管理流动性管理服务产品中，在建立资金归集关系时，（)设主账户，主账户唯一，主账户是指资金归集关系的最高级账户。,批量归集,平等资金池,多级账簿,实时归集,AD
