id,question,A,B,C,D,answer
0,对于资金规模大的存款类客户，主要以（ ）产品优先满足其理财需求。,汇利丰 A 款（本金留存分行结构性存款）,高收益产品和汇利丰 A 款（本金留存分行结构性存款）,常规理财产品,常规理财产品，穿插一定规模的高收益产品,B
1,对实施十二级分类管理的法人客户信贷资产，至少每（次分类。）进行一,半年,一年,一个月,一季度,D
2,哪一项不属于综合收银台的营销对象？,个人客户,B2B 电商平台,品牌自营类网络商户,综合平台类网络商户,A
3,个人一手自用车贷款金额根据所购车辆车型、价格、借款人还款能力合理确定，单户贷款额度最高不超过（  ）万元。,200,250,100,150,A
4,关注类贷款的基本特征是（  ）。,缺陷明显，可能损失,肯定损失,一切正常,潜在缺陷,D
5,以人民币标明面值，以人民币认购和进行交易，供国内投资者买卖的股票是（  ）。,A股,N股,B股,H股,A
6,“专家贷”协议还款每年归还贷款本金最低不低于(  )%。,0.15,0.1,0.25,0.2,A
7,金猪贷的用途包括：,其他消费,教育,生猪养殖相关用途,购买住房,C
8,商业汇票代理贴现期限从贴现之日起至汇票到期日止，最长不超过） 个月，电子商业汇票代理贴现期限最长不超过（）,9 ，2,12 ，2,3 ，1,6 ，1,D
9,“安心得利”系列理财产品的业务流程为：（）,资金冻结、签订协议、资金扣划、本息返还,资金冻结、资金扣划、本息返还,签订协议、资金冻结、资金扣划、本息返还,资金冻结、资金扣划、签订协议、本息返还,C
10,按《员工违法违规行为处理办法》规定，发放假名、冒名贷款、借名贷款和自批自贷发放贷款或假用委托贷款之名发放贷款的，给予直接责任人（  ）以上处分，给予有关责任人员警告以上处分。,留用察看,开除,降级,撤职,A
11,经营性物业贷款期限最长不超过 10 年，对于符合一定条件的经营性物业贷款，贷款期限最长可放宽到（）,18,20,12,15,D
12,个人一手住房贷款合同生效后，可提前申请还款，经办农合机构可按合同约定按提前还款金额收取(  )比例的违约金。,1%～1.5%,1.5%～2%,0.1%～0.5%,0.5%～1%,D
13,可以发行联名卡，扩大合作领域，共同构建或升级联名方会员系统同时丰富原有卡片功能，达到互利共赢的银行卡是（）,金穗准贷记卡,金穗借记卡,金穗贷记卡,金穗惠农信用卡,C
14,农业银行重大合规事项的决策机构是 （）。,监事会,首席合规官,经营决策机构,高级管理层,C
15,从产业特点角度来看，(力资本投入和产出规模。,朝阳产业,夕阳产业)需要大量的低成本劳动力，以保证产业的人,劳动密集型产业,资本密集型产业,C
16,法人客户分类原则上按（  ）调整。,半年,年,月,季,B
17,商业银行对借款企业最关心的是其现在和未来的（）,偿债能力,市场份额,技术水平,销售业绩,A
18,法人客户信用评级为AA级，其综合得分区间为（   ）。,综合得分≥90分,70分≤综合得分＜90分,80分≤综合得分＜90分,70分≤综合得分＜80分,C
19,按照对公假日丰存款 A 款产品为周末（长假（）天。）天、小假期（）天，,3，4，8,4，5，8,2，3，5,2，3，7,A
20,质权的标的物是（ ）， 抵押权的标的物是（ ）。,动产和财产权利， 动产和不动产,动产和财产权利， 不动产,动产， 不动产,不动产， 不动产和财产权利,A
21,发卡银行收到持卡人还款时，对逾期90天以上的信用卡的还款顺序为（  ）。,利息、费用、本金,费用、利息、本金,本金、费用、利息,本金、利息、费用,C
22,集团内关联企业提供的保证担保额度原则上不得超过集团客户整体授信额度的（  ）。,0.3,0.4,0.1,0.2,A
23,中国农业银行股份有限公司于（ ） 在 A 股上市。,2010 年 7 月 15 日,2011 年 8 月 15 日,2008 年 10 月 21 日,2009 年 1 月 16 日,A
24,“（  ）”是指集团客户管理要注重风险管理和额度控制。,风险管理,区域管理,统一管理,分类管理,A
