id,question,A,B,C,D,answer
0,定量评估由（  ）组成。,基本经营指标,自营业务收益指标,风险管理指标,内控管理指标,ABC
1,“双线”贷后检查发现的问题按严重程度分为（）级别。,蓝,黄,橙,红,BCD
2,政府土地储备机构：指由县级以上政府（含县级）授权在该级政府所在城市规划区内从事土地（ ）及出让土地前期相关工作，具有法人资格的土地储备机构。,征用,买卖,收购,储备,ACD
3,金融统计本外币利润统计季(年)报中，利息收入是指（）等业务的利息收入。,金融机构发放贷款,基金收益,债券投资,存出款项,ACD
4,房地产开发贷款是指金融机构发放的所有用于（ ）的贷款。,土地开发,地产买卖,土地收购,房屋建设,AD
5,网络贷款的局限包括?,准入标准过低,监管缺失,网贷公司良莠不齐,是替代民间金融的一种尝试,ABC
6,下列哪些属于中国人民银行规定的市场准入中的法人机构投资者？（）,商业银行及其授权分行,非金融机构法人,基金管理公司特定资产管理组合,人民币合格境外机构投资者(RQFII)和合格境外机构投资者(QFII),ABD
7,根据《全省农村商业银行金融市场业务操作规程（2023年修订版）》，属于后台结算员岗位职责的有（  ）。,负责审查交易资料与审批要素的一致性，在簿记系统办理结算事项、应急业务；,负责掌管簿记系统数字证书、用户账号及密码，对簿记系统进行日常维护和管理；,参与账务核对，遇突发事件等在第一时间报告。,负责跟踪业务风险情况，参与账务核对，遇突发事件等在第一时间报告，并及时采取相应的应急措施。,ABC
8,下列说法正确的是（）,理财资管系统控制回购和存放同业等合约类资产的到期日，不得晚于理财产品到期日。,农村商业银行应将理财产品持有的各类资产逐笔录入理财资管系统，每日日终生成记账凭证，传送核心业务系统汇总记账。,农村商业银行应至少每月将现金台账与托管银行交易流水进行一次核对。,理财产品已发行确认，可对关键信息进行修改。,ABC
9,如果从不同的技术角度来剖析，我们可以看待区块链为什么___;,一种数据库,一种分布式系统,一种网络底层协议,一种密码学,ABC
10,根据风险隔离管理办法要求，本行与附属机构存在利益冲突的人员不得兼任附属机构的(  )。,董事,监事,高级管理人员,经营决策机构成员,ABCD
11,（）应成立消费者权益保护专业委员会，接受银行保险监督管理机构的指导监督。,中国银行业协会,中国保险行业协会,中国信托业协会,中国债券业协会,ABC
12,2022年金融统计报送机构范围调整，中长期贷款按实际投向统计月报表（A1464/A2464）新增报送机构类包括（）。,农村商业银行,村镇银行,财务公司,金融租赁公司,ABCD
13,债券投资者购买任何一种债券都要面对的，又被称为系统风险、市场风险或不可分散风险的是（）。,利率风险,再投资风险,汇率风险,购买力风险,ABCD
14,根据《商业银行理财子公司管理办法》规定，银行理财子公司的董事、监事、高级管理人员和其他理财业务人员不得有下列行为：（）。,进行证券投资,不公平地对待所管理的不同理财产品财产,泄露因职务便利获取的未公开信息，利用该信息从事或者明示、暗示他人从事相关的交易活动,侵占、挪用理财产品财产,BCD
15,互联网金融监管国际经验有   ；,纳入现有法律框架下，强化法律规范，强调行业自律。,针对本国互联网金融发展的不同情况，采取强度不等的外部监管措施。,监管手段主要是注册登记和强制性信息披露，以金融消费者和投资者的权益保护为重心。,涉及谁的监管职责就由相对应的监管机构负责,ABCD
16,债券按发行主体分类分为 :（ ）。,政府债券,金融债券,商业银行债券,公司债券,ABD
17,根据《商业银行理财业务监督管理办法》规定，商业银行理财销售人员进行理财销售活动时，应遵循的原则：（  ）。,勤勉尽职,诚实授信,公平对待投资者,专业胜任,ABCD
18,（）哪些贷款纳入大中小型企业贷款统计范畴？,贸易融资项下的福费廷,票据融资,融资租赁,各项垫款,ACD
19,非居民项下境外个人包括（）,持外国护照的个人,持有港澳居民往来内地通行证的个人,持有台湾居民往来大陆通行证的个人,以上皆是,ABCD
20,下列不属于涉农贷款统计制度中农村区域的是（）,地级市的市辖区,国家级经济开发区,地级市城关镇,尚未撤县改区的县级市,ABC
21,债券交易以（）方式进行，自主谈判，（）成交。,询价,竞价,分时,逐笔,AD
22,根据《2021年政府工作报告》，今年稳健的货币政策要（）。,灵活精准,提质增效,合理适度,更可持续,AC
23,根据《全国银行间债券市场债券交易管理办法》，下列（）可成为全国银行间债券市场参与者。,中国境内具有法人资格的商业银行,中国境内具有法人资格的商业银行授权分支机构,中国境内具有法人资格的非银行金融机构和非金融机构,中国人民银行批准经营人民币的外国银行,ABCD
24,用信管理应遵循“（）”的基本原则。,审贷分离,贷放分控,专业审核,实贷实付,ABCD
25,债券交易结算方式包括（）。,券款对付,见券付款,见款付券,纯券过户,ABCD
26,管辖行行长权限如下：,单户金额在300万元以上的个人类信贷资产风险分类由上向下迁徙的；,单户金额在5000万元（含）以下的公司类信贷资产，风险分类结果由下向上迁徙的；,计入损失类贷款首次分类，所有个人类、公司类5000万元（含）以下的,总行行长认为需直接由其审批的风险分类,ABC
27,以下描述中，信用风险较高的企业有（ ）,A大量的银行借款支持高额的固定资产投资支出的企业,B大量参与民间借贷的企业,C资本投入高，而核心技术被国外掌握的行业企业,D区域性或行业性大额互保的企业,ABCD
28,企事业单位贷款有下列情况之一的一般划入可疑类,借款人处于停产、半停产状态，固定资产贷款项目处于停、缓建状态,借款人或其法定代表人涉及重大案件，对借款人的正常经营活动造成重大不利影响,已诉诸法律追收贷款,借款人在其他金融机构贷款被划为损失类,ABCD
29,棚户区改造贷款是指金融机构发放的用于支持各类棚户区改造的贷款。包括(   ),棚户区土地收购、拆迁的贷款,棚户区土地货币补贴、安置住房的贷款,原棚户区土地上的商品房开发贷款,棚户区土地配套设施建设的贷款,ABD
30,境内银行业非存款类金融机构：是指由中国银行业监督管理委员会监督管理的，不吸收公众存款的金融机构。包括信托公司、（）、贷款公司和货币经纪公司。,金融资产管理公司,金融租赁公司,汽车金融公司,金融控股公司,ABC
31,.如果某厂商的总收益为65000元，其中劳动成本为23000元，原材料成本为16500元，若该厂商为其他人工作可赚取14300元。则对于一个经济学家而言，利润等于（  ）；对于会计而言，利润等于（  ）,11200,42000元,14300元,25500元,AD
32,根据《银行从业人员职业操守》，银行业从业人员在与客户的接触中，下列做法不当的有()。,客户是上帝，应当满足客户的一切要求,每天都有与客户的娱乐活动,在重大节日向客户打电话问候,赠送客户当地商场消费卡,ABD
33,网络支付是指依托或在收付款人之间转移货币资金的行为，包括货币汇兑、互联网支付、移动电话支付、固定电话支付、数字电视支付等___；,电信网络,公共网络,专用网络,广电网络,BC
34,负面信息主要出现在哪些栏目   ；,“贷款明细信息”中的“累计逾期次数”、“最高逾期期数,"“贷款最近24个月每个月的还款状态记录中出现“、“、""N、“C”以外的标记，比如是数字1到7，或者是“D”、“Z”",“信用卡明细信息”的贷记卡“未还最低还款额次数”出现以外的情况,“信用卡明细信息”的“准贷记卡透支80天以上未付余额出现以外的情况,ABCD
35,个人身份证保管不善会对您的个人信用报告产生哪些不良影响___；,被他人冒用贷款,被他人冒用提供担保,被他人冒用办卡,被他人冒用查询个人信用报告的信息,ABC
36,广义政府是指通过政治程序建立的，对其他单位拥有立法、司法和行政权的法律实体及附属单位，包括（）。,中央政府,地方政府,机关团体,部队,ABCD
37,以下商品中富有弹性的是,食盐,汽车,面粉,旅游,BD
38,贷款分行业指标“农林牧渔业贷款”中不包含从事哪项活动的企业？（   ）,农田灌溉服务,农产品收购,农村公共设施建设,农贸市场修建,BCD
39,个人网银的用途包括___；,缴费支付,账户管理,投资理财,提升财务效率,ABC
40,下列不属于习总书记提出的“九种体现”具体内容的有（ ）。,目无党纪、自由散慢，只要组织照顾，不要组织纪律,搞团团伙伙、拉帮结派，肆无忌惮、胆大妄为,对党中央的大政方针说三道四，公开发表同中央精神相违背的言论,整天不琢磨事、只琢磨人，吃吃喝喝、拉拉扯扯,BC
41,风险报告遵循以下原则：（）,全面性。风险报告的范围应覆盖本行分支机构、业务条线和人员的所有风险。,及时性。风险报告应在规定的时限内报送，确保总行相关部门能及时掌握本行风险状况并作出相应管理决策。,准确性。风险报告应客观真实，不得有虚假、瞒报或重大遗漏。,保密性。风险报告的信息传递应限定在一定范围内，并遵守相关保密管理和信息披露制度的规定。,ABCD
42,以下哪些不属于渔业贷款？,发放给各承贷主体从事海洋养殖与捕捞活动的贷款,专门用于运用和 休闲的动物捕捉活动,对水产品的加工,发放给各承贷主体从事内陆水域养殖与捕捞活动的贷款,BC
43,欧盟对第三方支付的监管包括哪些方面？,立法层面,业务许可层面,监管机制层面,沉淀资金管理层面,AD
44,下列属于习总书记提出的“五个必须”具体内容的有（  ）。,必须维护党中央权威,必须维护党的团结,必须遵循组织程序,必须服从组织决定,ABCD
45,哈希函数有哪些特性?,可以输入任意大小的字符串,只能产生数值,产生固定的大小输出,能进行有效计算,ABCD
46,根据《商业银行理财业务监督管理办法》规定，理财产品销售业务中的不当销售和误导销售行为，至少应当包括以下异常情况：（  ）。,投资者频繁开立、撤销理财账户,投资者风险承受能力与理财产品风险不匹配,商业银行超过约定时间进行资金划付,其他应当关注的异常情况,ABCD
47,以下关于边际替代率的说法正确的是,通常商品的边际替代率逐渐递减，其无差异曲线凸向原点,边际替代率可能无穷大，无差异曲线是一条垂直的直线,边际替代率为常数，无差异曲线是一条向右下方倾斜的直线,边际替代率不可能为0,AC
48,根据《商业银行理财业务监督管理办法》规定，当接受认购申请可能对存量开放式公募理财产品投资者利益构成重大不利影响时，商业银行可以采取（  ）措施，切实保护存量理财产品投资者的合法权益。,设定单一投资者认购金额上限或理财产品单日净认购比例上限,拒绝大额认购,暂停认购,产品提前到期,ABC
49,授信分为可循环使用和不可循环使用，对（）授信业务采用不可循环使用模式授信。,项目贷款,房地产贷款,借新还旧,无还本续贷,ABCD
50,下列情况不得新增授信，对存量授信应逐步压缩规模或退出,授信主体为异地客户,授信主体连续3年经营活动产生的现金流量净额均低于当期财务费用,授信主体由异地客户提供唯一担保,授信主体为财政全额拨款的事业单位,ABCD
51,根据《中国银监会办公厅关于开展银行业“违法、违规、违章”行为专项治理工作的通知》，“三违反”行为专项治理的内容包含以下内容（）。,违反金融法律,违反监管规则,违反公司制度,违反内部规章,ABD
52,银行保险机构重大消费投诉包括以下情形（）。,因重大自然灾害、安全事故、公共卫生事件等引发的消费投诉,20名以上投诉人采取面谈方式提出共同消费投诉的群体性投诉,30名以上投诉人采取面谈方式提出共同消费投诉的群体性投诉,中国银保监会及其派出机构（以下统称“银行保险监督管理机构”）认定的其他重大消费投诉,ABD
53,动态或不定期评估内容包括但不限于(  )：,公司股东结构是否发生变更，组织架构是否发生重大变化；,名单内合作机构最新的经营情况，对综合反映其经营和财务情况的指标如管理规模、业绩排名、财务指标变动等进行评估；,团队人员结构是否发生变更，考察评估期内人员的稳定性、核心人员的变动等，进而评估其投研能力的变动；,评估期间内合作机构风险管理及内控建设情况；,ABCD
54,以下情形属于债券交易违规行为的有（  ）。,未按本规则向交易中心申请暂停债券交易流通服务，但未造成债券交易异常情况的,债券存续期间未按规定进行信息披露的,开展本规则所列交易时，未按规定主动履行交易信息披露与报告义务的,利用债券交易进行利益输送或不当影响市场价格的,BCD
55,关于同业往来资金往来统计，以下说法准确的是（）,境内机构，是指在我国经济领土（除港、 澳、台地区）上具有经济利益中心的常住单位。,境外则指非常住单位,将与港澳台地区金融机构的资金往来统计在境外金融机构同业往来指标中。,需将统计指标细化，并设置境外金融机构的相关统计指标,ABCD
56,移动电话支付主要可以认为是____等,短信支付,STK支付,USSD支付,WAP支付,ABCD
57,除情况说明外，交易中心对有疑问的交易可要求机构额外提交材料证明其交易定价过程，包括但不限于（）等。,询价记录,电话录音,定价依据,投资决策及审批材料,ABD
58,单位存款按照合同性质分为,单位通知存款,单位结构性存款,单位保证金存款,单位协定存款,ABCD
59,大数据可以应用在什么地方   ；,贷款,保险,投资,证券,ABCD
60,以下经济数据为国家统计局按月公布的是（）,CPI,GDP,工业增加值,PMI,ACD
61,根据《商业银行理财业务监督管理办法》规定，理财产品销售文件包括（  ）。,销售协议书,理财产品说明书,风险揭示书,投资者权益须知,ABCD
62,根据《关于规范金融机构资产管理业务的指导意见》规定，金融机构开展资产管理业务，应当确保（ ）。,资产管理业务与其他业务相分离,资产管理产品与其代销的金融产品相分离,资产管理产品之间相分离,资产管理业务操作与其他业务操作相分离,ABCD
63,JOBS明确能满足以下条件的众筹融资平台无需到SEC注册___,由SEC注册的经纪人充当中介,筹资者每年通过网络平台募集不超过100万美元的资金,前12个月内收入不足10万美元的投资人所投金额不超过2000美元或其年收入的5%,前12个月内收入超过10万美元的投资人投资额度可超过其收入10%，但上限为10万美元,ABCD
64,人民银行和上级征信主管部门转办的征信异议，本行在（）内对异议内容进行核查；客户直接向本行提出征信异议的，本行在征信异议申请受理日起（）内对异议信息进行核查处理。,10日,20日,30日,15日,AB
65,《知识产权质押贷款管理办法》规定的知识产权仅限于,专利权,注册商标专用权,著作权的财产权,著作权,ABC
66,根据授信管理暂行规定，授信审查要点至少包括以下（）。,交易对手和业务品种是否符合监管规定和行业管理要求,授信资料是否真实完整,授信计算是否准确,授信额度是否合理,ABCD
67,办理金融市场业务，应按照业务品种分别在(  )系统发起审批和办理(现金支取类存放同业活期、同业存放等未纳入系统管理的业务除外）,交易系统,资金业务管理系统,簿记系统,商票系统,BD
68,在激烈的市场竞争中，网银也推出了各类特色服务，以工商银行为例，推出的特色服务有   ；,e支付,无界面支付,融e购,手机一网购,ABC
69,当基尼系数接近于1时，表明,社会收入分配接近于不平等。,社会收入分配比较不平等。,社会收入向少数人手中集中。,政府应当调整收入分配政策，使收入分配趋于平等。,ABCD
70,根据《全省农村商业银行资金业务风险管理系统管理暂行办法》，资金业务风险管理系统的数据访问权限遵循（）（）（）的原则。,上级访问下级,下级不能访问上级,同级不能互访,同级可以互访,ABC
71,根据全国银行间同业拆借中心债券交易流通规则，以下情形属于债券交易违规行为的有（  ）。,未按本规则向交易中心申请暂停债券交易流通服务，但未造成债券交易异常情况的,债券存续期间未按规定进行信息披露的,开展本规则所列交易时，未按规定主动履行交易信息披露与报告义务的,利用债券交易进行利益输送或不当影响市场价格的,BCD
72,根据《关于规范金融机构资产管理业务的指导意见》规定，金融机构发行资管产品时，不得开展或参与具有（  ）特征的资金池业务。,滚动发行,集合运作,期限错配,分离定价,ABD
