id,question,A,B,C,D,answer
0,信息主体认为征信机构或者信息提供者、信息使用者侵害其合法权益的，可以向所在地的（）投诉。,中国银行业监督管理委员会,中国银行业监督管理委员会派出机构,国务院征信业监督管理部门派出机构,中国人民银行,C
1,不得以（）或引人误解的方式对金融产品或金融服务进行营销宣传。,欺骗,隐瞒,欺诈,欺瞒,C
2,大中小微企业贷款专项统计中的单户授信500-1000万区间是指,大于500万，小于等于1000万,大于等于500万，小于1000万,大于等于500万，小于等于1000万,大于500万，小于1000万,A
3,房地产贷款存量统计月报表是按哪种标准进行统计的,按企业规模,按贷款类型,按行业分类,按贷款投向,D
4,在报送贷款按行业分类表时，农户贷款应统计在下列( )指标中,个人经营性贷款,个人消费贷款,农林牧渔业,个人贷款及透支,D
5,在贷款按行业分类统计表中，某污水处理厂的贷款应属于下列哪个行业（）,电力燃气和水的生产与供应业,租赁与商务服务业,水利环境和公共设施管理业,制造业,A
6,A公司资本构成为：注册地在台湾的公司控股50%，某国有公司控股50%，A公司的企业出资人经济成分为（）,集体绝对控股,港澳台相对控股,港澳台控股绝对,国有绝对控股,D
7,如果经营性物业抵押贷款是用于经营性物业的装修改造，应填报在（）项下的相应指标中。,经营性物业贷款,个人购房贷款,其他房地产贷款,房地产开发贷款,D
8,信额度有效期原则上不超过（），,3年（含）,5年（含）,1年（含）,2年（含）,C
9,下列不属于担保性中间业务的是（）。,委托代理,保函,票据承兑,承诺,A
10,金融机构资产负债项目月报表中单位存款不包括以下哪项,企业保证金存款,同业存放活期款项,机关团体活期存款,社保基金协议存款,B
11,下列店堂告示内容，合法的是（）。,购物金额低于20元恕不开具发票,商品应经有关行政部门认定为不合格方可退货,假一赔十,商品一旦售出概不退换,C
12,金融机构发放给城市树木、草坪的种植和管理等活动的贷款属于（   ）。,公共管理、社会保障和社会组织贷款,水利、环境和公共设施管理业贷款,农林牧渔业贷款,居民服务和其他服务业贷款,B
13,银行保险机构应当根据本办法健全本单位（），明确消费投诉处理流程、责任分工、处理时限等要求。,消费投诉处理应急制度,消费投诉处理工作制度,消费投诉流程制度,消费投诉职责分工制度,B
14,根据《刑法》规定，国家工作人员利用本人职权通过其他国家工作人员职务上的行为，为请托人谋取不正当利益，索取请托人财物的，以（）论处。,职务侵占,违规,贪污,受贿,D
15,金融机构应当（）至少开展一次金融消费者权益保护专题教育和培训。,每半年,每年,每月,每季度,B
16,借款人的还款能力出现明显问题，完全依靠其正常经营收入无法足额偿还贷款本息，即使执行担保，也可能会造成一定损失，符合（）类,损失,关注,次级,可疑,C
17,（）应当发挥自身优势，积极参与金融消费者权益保护工作，协助金融消费者依法维权，推动金融知识普及。,金融机构,金融领域相关社会组织,金融管理部门,地方人民政府,B
18,根据《中华人民共和国刑法》的有关规定，下列行为构成贷款诈骗罪的是()。,私自开设地下钱庄，吸收居民的存款,未经存款人同意，将客户资金用于投资股票,使用虚假的经济合同骗取贷款,使用作废的信用卡进行诈骗,C
19,《关于培育和践行社会主义核心价值观的意见》指出，（） 是公民个人层面的价值准则。（）,尊老、爱幼、勤俭、团结,爱国、敬业、诚信、友善,富强、民主、文明、和谐,自由、平等、公正、法治,B
20,贷款按行业分类报表中，对主营融资租赁的公司发放的贷款应计入（   ）。,租赁和商务服务业,居民服务、修理和其他服务业,批发和零售业,金融业,D
21,某制造业企业向A银行贷款1亿元用于房地产开发投资，贷款期限为5年，A银行在《中长期贷款按实际投向统计月报表》应将该笔贷款统计为（  ）。,建筑业,租赁和商务服务业,制造业,房地产业,D
22,根据《中华人民共和国刑法》第二百五十三条和《最高人民法院、最高人民检察院关于办理侵犯公民个人信息刑事案件适用法律若干问题的解释》的相关规定，某商业银行的征信查询人员张某在履行职责或者提供服务过程中非法获取、出售或提供征信信息300条，犯（），应认定为（），处（）。,“侵犯公民个人信息罪”  “情节严重”  三年以下有期徒刑,“侵犯公民个人信息罪”  “情节特别严重”  三年以上七年以下有期徒刑,“侵犯公民隐私罪”  “情节严重”  罚款或拘役,“侵犯公民个人信息罪”  “情节轻微”  6个月以上一年以下有期徒刑,A
23,根据《最高人民法院关于印发＜全国法院审理金融犯罪案件工作座谈会纪要＞的通知》要求，下列哪种情况不可以认定为具有非法占有的目的()。,使用骗取的资金归还到期贷款的,肆意挥霍骗取资金的,明知没有归还能力而大量骗取资金的,非法获取资金后逃跑的,A
24,《本外币利润统计表》中，与企业日常活动无关的政府补助计入（  ）。,其他利息收入,营业外收入,营业收入,其他业务收入,B
25,健全金融消费者权益保护机制。金融机构应当将保护金融消费者合法权益纳入（）、企业文化建设、经营发展战略中统筹规划，落实人员配备和经费预算，完善金融消费者权益保护工作机制。,员工成长,日常管理,企业发展,公司治理,D
26,根据《中小企业划型标准规定》，某建筑业企业营业收入350万元，资产总额280万元，那么该企业属于         。（   ）,小型企业,微型企业,中型企业,大型企业,B
27,个人住房贷款包括（）,个人商住两用房贷款,金融机构向个人发放的用于购买住房的贷款,个人自建房贷款,个人住房装修贷款,B
28,农村商业银行（）承担金融消费者权益保护工作的最终责任。,董事会,股东大会,董事长,行长,A
29,经营者提供的商品或者服务不符合质量要求的，消费者可以依照国家规定采取有关措施，下列不符合要求的是（）。,修理,投诉,退货,更换,B
30,金融机构发放给杨明的用于个人新房装修的贷款应归入（   ）。,个人经营贷款,个人汽车消费贷款,个人住房贷款,个人其他消费贷款,D
31,按照2011年金融统计制度，中间业务统计报数机构范围是：国家开发银行及政策性银行、国有商业银行、股份制商业银行、中国邮政储蓄银行、城市商业银行、外资银行报送(  )汇总数据；城市信用社、农村信用社、农村商业银行、农村合作银行报送(   )汇总数据。,县级及以上人民币、外币，县级及以上人民币、外币,县级及以上本外币，县级及以上本外币,地市级及以上人民币、外币，县级及以上人民币、外币,地市级及以上本外币，县级及以上本外币,C
32,转贴现买断是（  ）间融通资金的一种方式。,客户和客户,金融机构和金融机构,金融机构和非金融机构,金融机构和客户,B
33,目前，再贷款业务牵头部门是（）,普惠金融部,零售金融部,风险管理部,公司金融部,C
34,（   ）是指由政府部门、金融机构、企事业单位及个人等委托人提供资金，由贷款人（即受托人）根据委托人确定的贷款对象、用途、金额、期限、利率等代为发放、监督使用并协助收回的贷款。,银团贷款,自营贷款,委托贷款,特定贷款,C
35,《商业银行市场风险管理指引》中规定，（  ）依法对商业银行的市场风险水平和市场风险管理体系实施监督管理。,银行业协会,商业银行总行,中国人民银行,中国银行业监督管理委员会,D
36,根据《商业银行资本管理办法（试行）》规定，商业银行市场风险加权资产为市场风险资本要求的（    ）倍。,1,100,12.5,10,C
37,银行业金融机构从业人员发现同事在给客户介绍产品时刻意隐瞒了该产品的风险以实现销售目标，则该工作人员（）,应当及时提示、制止，并视情况向所在机构或有关部门报告,应当立即向监管部门检举该同事的违规行为，不必事先提醒同事或向本行领导报告,应当帮助同事隐瞒，以便增加产品销售额,不管该行为是否符合规定，与自己无关，不应当过问,A
