id,question,A,B,C,D,answer
0,下列关于风险术语使用中，正确的包括（    ）。,风险是结果中潜在的变化,风险大小可以用客观尺度加以度量,损失程度越严重，意味着风险越大,风险的大小取决于其所致损失概率分布的期望值和方差,ABD
1,保险经纪人向客户提供的与保险有关的（）属于保险咨询服务。,解释,宣讲,保险理赔,答疑,ABD
2,下列选项中属于企业财产保险中的特约可保财产的是（    ）。,机器设备,金银珠宝,铁路桥梁,货币、票证,BC
3,按保险标的，分为（ ）,健康险合同,医疗险合同,财产险合同,人身险合同,CD
4,代位追偿的条件有（）。,被保险人遭遇保险事故,保险事故为第三者引起,保险人在赔偿后,保险人在赔偿前,ABC
5,保险核保人员的基本行为规范主要有以下几个方面：（ ）,公平公正,保守秘密,专业胜任,以上都不是,ABC
6,下列各项不属于公众责任险保障范围的有（ ）,被保险人雇员所遭受到的人身伤害,被保险人所有的财产的损失,被保险人的故意行为,罚款或惩罚性赔款,ABCD
7,下列说法哪些说法是正确的（）,保险专业中介机构外地分支需向分支机构所在地保监局缴纳监管费,机构监管费的缴费基数为上年末注册资本金,保险专业中介机构需向保监局报送保险业监管费报告单,部分保险专业中介机构可享受机构监管费优惠政策,BCD
8,国务院保险监督管理机构可以对保险公司实行接管的情形为（）,公司的偿付能力严重不足的,公司未依照相关规定提取或者结转各项责任准备金,公司未依照相关规定办理再保险,违反本法规定，损害社会公共利益，可能严重危及或者已经严重危及公司的偿付能力的,AD
9,15.人寿保险以外的其他保险的(    )，向保险人请求赔偿或者给付保险金的诉讼时效期间为二年，自其知道或者应当知道保险事故发生之日起计算。,被保险人,受益人,投保人,继承人,AB
10,保险公司及其分支机构应当依法使用经营保险业务许可证，不得（）经营保险业务许可证。,转让,出租,出借,买卖,ABCD
11,“保险事故发生后不及时履行查勘、定损与理赔义务”是指被保险人提出索赔请求后，保险人（ ）。,及时采取核定保险责任的措施,未及时采取任何核定保险责任的措施,在规定时限内出具拒赔通知书等相关说明文件,没有在规定时限内出具拒赔通知书等相关说明文件,BD
12,出口信用保险的经营特点包括（    ）。,与其他各种保险不同，它不以大数法则为基础制定保险费率和做出承保决定,出口信用保险需要政府参与,出口信用保险要求保险人全额承保,出口信用保险必须评估信用风险,ABD
13,下列属于纯粹风险的是（ ）。,汽车主人面临的碰撞风险,房屋所有者面临的火灾风险,投资者面临的资本市场价格波动风险,政府面临的地震风险,ABD
14,社会保险包括（  ）。,养老保险,失业保险,医疗保险,生育保险,ABCD
15,医疗费用保险是提供医疗费用保障的保险，一般简称医疗保险，常见的医疗保险有以下几种（）,普通医疗保险,综合医疗保险,补充医疗保险,特种医疗费用保险,ABCD
16,与人身保险合同相比，财产保险合同的性质不属于（   ）。,定额合同,损失补偿合同,给付合同,有形合同,ACD
17,人身保险与社会保险的区别在于（ ）。,保障功能不同,保费负担不同,保障对象不同,经营主体不同,ABD
18,根据《国务院关于保险业改革发展的若干意见》，保险具有的功能包括（ ）。,风险转移功能,资金融通功能,经济补偿功能,社会管理功能,BCD
19,按照年金保险给付的不同起始时间分类，可以分为（）,即期年金,延期年金,期初给付年金,期末给付年金,AB
20,和个人健康保险相比较，团体健康保险的优势是(    )。,可以避免逆向选择和道德风险,成本低,保费低,核保标准宽松,BCD
21,保险公司及其代理人的“明确说明义务”指的是针对保险合同条款等保险相关重大事项（ ）。,在保单上作出引起投保人注意的提示,在宣传资料上作出引起投保人注意的提示,以书面方式向投保人说明,以口头方式向投保人说明,CD
22,保险投资的必要性体现在哪两个方面？,有效促进资本市场规模的扩大,保险投资是保险资金保值和增值的内在要求,保险投资是保险公司面对日趋激烈的市场竞争的重要盈利手段,增加资本市场的金融工具,BC
23,在保险实务中，如果代理人诱导投保人替代被保险人签名导致人身保险合同无效，以下不需要承担主要法律责任的是（ ）。,投保人,被保险人,保险公司,受益人,ABD
24,关于保险公司的资金运用限于下列形式，下列说法正确的为（）,限于银行存款、买卖政府债券、金融债券,买卖债券、股票、证券投资基金份额等有价证券,投资不动产,国务院规定的其他资金运用形式,BCD
25,下列说法中，属于分红保险特点的是（    ）。,保单持有人承担经营损失,红利分配方式唯一,定价的精算假设比较保守,保险给付中含有红利,CD
26,人寿保险公司是指经营（）、（）、（）等人身保险业务的保险公司。,人寿保险,健康保险,财产损失保险,意外伤害保险,ABD
27,保险合同的形式包括（）。,投保单,暂保单,保险单,批单,ABCD
28,2.人身保险的分类，主要分为(    ),人身保险,年金保险,健康保险,意外伤害保险,ABCD
29,风险因素是对风险事故的发生与否或损失大小有影响的各种条件或因素，其主要类型有（ ）。,投机风险因素,实质风险因素,道德风险因素,心理风险因素,BCD
30,保险专业代理公司有下列情形的，可以动用保证金:( )。,公司注册资本减少,公司退出市场,公司发生股权转让,公司投保了职业责任保险,ABD
31,家庭自用汽车损失条款中规定保险金额的确定方式（      ）,按投保时被保险机动车的新车购置价确定；,按投保时被保险机动车的实际价值确定,投保时在被保险机动车的新车购置价内协商确定,以上都不对,ABC
32,根据《中华人民共和国保险法》的规定，保险代理机构和保险经纪人不得（ ）经营保险业务许可证。,转让,出租,出借,注销,ABC
33,保险监管机构依照《保险法》和国务院规定的职责，遵循（）的原则，对保险业实施监管。,依法,公开,公正,协商一致,ABC
34,投保人对下列人员具有保险利益（）：,本人,配偶、子女、父母,与投保人有抚养、赡养或者扶养关系的家庭其他成员、近亲属,与投保人有劳动关系的劳动者,ABCD
35,因保险合同纠纷提起诉讼时，通常由（    ）人民法院管辖。,被告所在地,保险标的物所在地,原告所在地,被保险人所在地,AB
36,金融机构大额交易和可疑交易报告管理办法适用于在中华人民共和国境内依法设立的下列金融机构（ ）,保险专业代理公司,保险经纪公司,保险公估公司,保险兼业代理机构,AB
37,在寿险公司的经营中，责任准备金的提取是非常重要的一项工作。以下关于寿险责任准备金的陈述中，正确的有（  ）。,我国的责任准备金计提和法定责任准备金评估主要采用纯保费评估法,采用不同的责任准备金评估方法，不会影响到保险公司各年的利润情况,使用修正制评估准备金时，允许保险公司根据实际情况对各年度的责任准备金进行调 整,在利率、死亡率和退保率等假设条件不变的情况下，采用未来法和过去法评估准备金 的结果是一样的,AD
38,意外伤害保险是指被保险人在保险有效期间，因遭遇（）意外事故，致使其身体蒙受伤害而残疾或死亡时，保险人依照合同规定给付保险金的保险。,自身内部,非本意的,外来的,突然的,BCD
39,保险中介机构以及所属业务人员，在人身保险业务活动中，不得隐瞒下列与保险合同有关的重要情况：（   ）,免除保险人责任的条款,提前解除人身保险合同可能产生的损失,人身保险产品保险期间、交费期限，以及不按期交纳保费的后果,人身保险新型产品保单利益的不确定性,ABCD
40,保险专业代理机构因下列原因接受中国保监会调查的，在被调查期间中国保监会有权责令其停止部分或者全部业务(  ),涉嫌严重违反保险法律、行政法规,经营活动存在重大风险,不能正常开展业务活动,许可证过期的,ABC
41,在健康保险合同中，常见的成本分摊条款包括（      ）。,免赔额条款,代位求偿条款,比例给付条款,调整给付条款,AC
42,下列关于承运人责任保险说法正确的包括（    ）。,承运人责任一般是侵权赔偿责任,承运人责任保险一般采取绝对免赔额,自然灾害属于道路危险货物承运人中货物责任保险的除外责任,定期运输的保险期间一般为两年,BC
43,保险专业代理机构有权对中国保监会的行政处罚采取以下措施( )。,行政复议,行政诉讼,申请行政公开,拒绝执行,ABC
44,两全保险是指被保险人不论在保险期间内死亡还是生存到保险期届满，保险人都给付保险金的保险。它具有如下的特点（）,两全保险具有典型的投资功能,两全保险是人身保险业务中承保责任最全面的一个险种,两全保险费率较高,两全保险具有储蓄型,BCD
45,责任保险所承担的法律责任主要是民事责任，民事责任主要包括（）。,过失责任,绝对责任,部分责任,共同责任,AB
46,人身保险合同是(    )。,要式合同,附合性合同,有偿合同,双务合同,ABCD
47,万能保险的主要特征包括下列哪些？（）,可以提供持续奖金,帐户式管理,运作机制透明,产品功能固定,ABC
48,金融机构有下列行为之一的，由国务院反洗钱行政主管部门或者其授权的设区的市一级以上派出机构责令限期改正情节严重的，处二十万元以上五十万元以下罚款，并对直接负责的董事、高级管理人员和其他直接责任人员，处一万元以上五万元以下罚款（ ）,未按照规定履行客户身份识别义务的,未按照规定保存客户身份资料和交易记录的,未按照规定报送大额交易报告或者可疑交易报告的,与身份不明的客户进行交易或者为客户开立匿名账户、假名账户的,ABCD
49,保险民事法律责任，是指保险合同（ ）违反了法律规定或者合同约定的民事义务，侵害了其他各方的民事权利，按照民法规定必须承担的法律后果。,当事人,关系人,被保险人,受益人,AB
50,下列关于保险经纪人从事再保险经纪业务的，正确的是：（  ）,应当设立专门部门,在业务流程上与其他保险经纪业务实行隔离,在财务管理与风险管控上与其他保险经纪业务实行隔离,在佣金收取账户与其他保险经纪业务实现隔离,ABC
51,甲公司就其设备向乙保险公司投保一年，签订保险合同时，甲公司没有讲明该套设备有一主要零件已经损坏的事实。半年中，甲公司的该设备又坏了另外的两个主要零件， 但设备还能使用。为了凑齐维修费用，甲公司负责人命其员工有意制造事故，致使该设备无法运转，由此联系乙保险公司赔付，乙保险公司可提出解约保险合同的事项有,甲公司设备有几个主要零件损坏,签订保险合同时，甲公司隐瞒设备有损坏的事实,甲公司负责人命其员工制造事故,乙保险公司随时可以解除合,ABC
52,风险估测主要包括（ ）。,损失频率的估测,损失概率的估测,损失程度的估测,损失时间的估测,BC
53,风险是一种损失的发生具有不确定性的状态。风险所具有的三个特性是（）,客观性,损失性,不确定性,特定性,ABC
54,与一般合同相比，保险合同自身的特点主要体现在（）,双务性,射幸性,补偿性,附和性,ABCD
55,以下哪些事项属于违法违规事项：（   ）,未按照规定报送或者保管报告、报表、文件、资料的，或者未按照规定提供有关信息、资料的,未按照规定披露信息的,编制或者提供虚假的报告、报表、文件、资料的,未按照规定使用经批准或者备案的保险条款、保险费率的。,ABCD
56,按保险合同性质分类，分为（）,给付合同,补偿合同,定值保险合同,不定值保险合同,AB
57,关于保险刑事法律责任，下列说法正确的是（ ）。,依据是国家刑事法律规定,对所有触犯刑事法律的犯罪分子追究法律后果,在各种保险法律责任中最为严厉,主要包括刑罚问题,AC
58,以下属于我国的公众责任保险一般除外责任的是（ ）,被保险人故意行为,战争,政府的没收与征用,诉讼抗辩费用,ABC
59,用人单位变更下列（ ）事项，不影响劳动合同的履行。,名称,法定代表人,主要负责人,投资人,ABCD
60,（）属于准备金范围。,保费不足准备金,修正准备金,理赔费用准备金,未到期责任准备金,ABCD
61,下列属于普通家庭财产保险保险责任的有（）,火灾,爆炸,战争,行政、执法行为引起的损失,AB
62,保险从业人员必须遵守拜访礼仪，具体有：（）,拜访预约、遵约守时,时间恰当、适时告辞,精心准备、做客有方,谦恭有礼的谈话技巧,ABCD
63,保险专业代理机构可以经营下列业务：( ),代理销售保险产品,代理收取保险费,代理相关保险业务的损失勘查和理赔,参与汽车延保服务,ABC
64,社会保险基金运用主要有哪些方式（）,直接对外投资,不动产投资,购买有价证券,储蓄存款,ABCD
65,跟财产保险相比，人身保险具有的特点包括（ ）。,人身保险是一种定额保险,人身保险是给付性保险,人身保险的保险期限具有长期性,人身保险适用代位求偿原,ABC
66,保险监管的目的主要有两个方面：（ ）,维护投保人、被保险人和受益人的合法利益,维护保险市场秩序,维护保险概述利益,维护销售人员礼仪,AB
67,根据重复保险赔偿的基本原则，在发生保险事故时，各个保险公司可以按照（）两种方式承担赔偿责任。,按比例分摊,按合同约定方式,按单方面决定,按协商一致原则,AB
68,保险合同的履行中，保险人的义务有（）,确定损失赔偿责任,履行赔偿给付义务,通知义务,避免损失扩大的义务,AB
69,保险公司不得开发下列非车保险产品。（ ）,对保险标的不具有法律上承认的合法利益,约定的保险事故不会造成被保险人实际损失的保险产品,承保的风险是确定的，如风险损失不会实际发生或风险损失确定的保险产品,承保既有损失可能又有获利机会的投机风险的保险产品,ABCD
70,告知是投保人或被保险人应尽的法定义务。在国际上，告知的立法形式主要有（    ）。,无限告知,询问回答告知,确认告知,承诺告知,AB
71,下列属于保险代理人、保险经纪人业务活动禁止性行为的是（ ）。,委托未取得合法资格的机构或者个人从事保险销售活动,给予或者承诺给予投保人和被保险人保险合同约定以外的利益,泄露在业务活动中知悉的投保人和被保险人的商业秘密,利用行政权力、职务等手段引诱投保人订立保险合同,BCD
72,下列有关人身保险合同中以被保险人死亡为给付保险金条件的合同的描述，正确的为（）,自合同成立或者合同效力恢复之日起二年内，被保险人自杀的，保险人不承担给付保险金的责任,自合同成立或者合同效力恢复之日起二年内被保险人自杀，且被保险人为无民事行为能力人，保险人不承担给付保险金的责任,自合同成立或者合同效力恢复之日起二年内被保险人自杀，但被保险人自杀时为无民事行为能力人，则保险人应承担给付保险金的责任,以死亡为给付保险金条件的合同，除为未成年子女投保外，未经被保险人同意并认可保险金额的，合同无效,ACD
73,责任保险所承保的民事法律责任，包括（）,过失责任,绝对责任,相对责任,契约责任,AB
74,以下哪种行为符合监管要求：（    ）,保险专业中介机构及其从业人员可以销售经相关金融监管部门审批的非保险金融产品。,保险专业中介机构及其从业人员销售符合要求的非保险金融产品前，必须符合相应的资质要求。,保险专业中介分支机构可以直接销售非保险金融产品，与法人机构无关。,保险专业中介机构不得向客户销售超出其需求和风险承受能力的非保险金融产品。,ABD
75,创新型人寿保险具有的特点(    )。,具有保险和投资双重功能,独立账户，运作透明,利率敏感性较强,保障水平不确定,ABCD
76,用人单位与劳动者协商一致，可以订立无固定期限劳动合同。有下列情形之一，劳动者提出或者同意续订、订立劳动合同的，除劳动者提出订立固定期限劳动合同外，应当订立无固定期限劳动合同（ ）,劳动者在该用人单位连续工作满十年的,用人单位初次实行劳动合同制度或者国有企业改制重新订立劳动合同时，劳动者在该用人单位连续工作满十年且距法定退休年龄不足十年的,连续订立二次固定期限劳动合同，且劳动者没有本法第三十九条和第四十条第一项、第二项规定的情形，续订劳动合同的,劳动者在该用人单位连续工作不满十年的,ABC
77,关于开办投资连结保险的保险公司信息披露的公告制度，以下说法正确的是（  ）。,公司每月应当至少在公司网站或者中国银保监会认可的公众媒体上公告一次投资账 户单位价格,公司应当在公司网站上保留至少 10 年的投资账户单位历史价格信息,公司运作不足 10 年的，应当保留投资连结保险开办以来投资账户价格的全部历史信息,公司在公司网站上公布的投资账户单位历史价格信息应当方便工作查询,BCD
78,2020年车险综合改革后，保留的机动车附加险包括（  ）。,附加车上货物责任险,车身划痕损失险,附加法定节假日限额翻倍险,发动机涉水险,ABC
79,关于保险的要素，说法正确的是（ ）。,保险的过程既包括风险的集合过程，又包括风险的分散过程,可保风险是符合投保人投保条件的特定风险,保险准备金的建立是保险要素之一,保险在形式上是一种商品交换行为，实质上是一种经济保障活动,AC
80,关于保险格式合同的描述，下列哪些描述是正确的（）,采用保险人提供的格式条款订立的保险合同中免除保险人依法应承担的义务或者加重投保人、被保险人责任的条款无效,采用保险人提供的格式条款订立的保险合同中排除投保人、被保险人或者受益人依法享有的权利的条款无效,采用保险人提供的格式条款订立的保险合同，保险人与投保人、被保险人或者受益人对合同条款有争议的，人民法院或者仲裁机构应当作出有利于被保险人和受益人的解释,订立保险合同，采用保险人提供的格式条款的，保险人向投保人提供的投保单应当附格式条款，保险人应当向投保人说明合同的内容,ABD
81,社会保险的主要内容包括（ ）。,基本养老保险,工伤保险,失业保险,生育保险,ABCD
82,风险管理的方法即风险管理的技术，分为控制型和财务型两类。其中控制型风险管理技术包括（ ）。,分散风险,自留风险,转移风险,抑制损失,ACD
83,构成人身意外伤害保险的伤害的要素有().,致害物,致害对象,致害事实,一定的致害程度,ABC
84,保险代理服务包含（）。,代理销售,代理核保,代理查勘,代理理赔,ABCD
85,以下属于企业财产基本险附加险的是( ),附加台风、暴雨、洪水保险条款,附加暴风、龙卷风保险条款,附加地面突然塌陷保险条款,附加雇员忠诚保险,ABC
