id,question,A,B,C,D,answer
0,按照我国保险法的规定，财产保险的种类主要包括（   ）,财产损失保险、信用保险和意外伤害保险,财产损失保险、责任保险和信用保险,财产损失保险、责任保险和健康保险,财产损失保险、责任保险和意外伤害保险,B
1,受益人取得受益权的唯一方式是（  ）,被保险人或投保人通过保险合同指定,同时关系,血缘关系,婚姻关系,A
2,按照年金保险的购买方式分类，可以分为趸缴年金和（）,即期年金,延期年金,按年给付年金,分期缴费年金,D
3,确定保险责任事故有效期间的基础是（   ）,备案接审的时间,事故通知的时间,索赔提出的时间,损失发生的时间,D
4,保险人向投保人收取的保险费，在抵补保险赔付金额和有关的营业费用后，不应获得过高的营业利润。这种保险费立定标准所体现的原则是（   ）。,公平性原则,盈利性原则,适度性原则,合理性原则,D
5,以下哪点损害了消费者权益?,销售误导,以上都是,捆绑销售,误导消费者购买和风险承受能力不相匹配的金融产品,B
6,下列哪种行为属于捆绑销售?,购买意外险需要同时购买年金险,以上都是,购买医疗险需要同时购买年金险,购买医疗险需要同时购买重疾险,B
7,保险人对权利人因义务人不履行义务而蒙受的经济损失负经济赔偿责任的保险是（    ）。,履约保证保险,忠诚保证保险,责任保险,信用保证保险,D
8,按照《关于进一步规范人身保险电话营销和电话约访行为的通知》，以下有关电话约访客户的叙述正确的是（  ）。 ①应当向客户介绍自己的真实身份，不得假借公司电话销售中心/售后服务中心名义 ②应当选择合适的时间拨打，不得不合时宜滋扰客户 ③应当拨打自有客户或转介绍客户电话号码，不得按号段或随机拨打陌生电话 ④应当合法获得、合理使用客户信息，不得非法获取、使用个人信息 ⑤应当对客户个人信息严格保密，不得倒卖个人信息,①②③⑤,①②③④⑤,①③④⑤,②③④⑤,B
9,根据交易标的来划分，保险市场可以分为财产保险市场和（）。,人身保险市场,人寿保险市场,原保险市场,再保险市场,A
10,雇员责任保险负责赔偿被保险人对雇员（    ）的赔偿责任。,第三者责任,以上都包括,财产损失,人身损害,D
11,风险最基本的特征是(   ),分散性,不确定性,纯粹性,可测性,B
12,保险人行使代位求偿权时，若追偿到的数额大于其赔偿给被保险人的数额，对超过部分的正确处理方式是（   ）,全部归被保险人,据为己有,上缴有关部门,与被保险人平分,A
13,如果投保人在约定的保险费交付时间内没有按时交纳，且在宽限期内仍未交纳，则（   ）,保险人仍承担保险责任,以上都不对,保险人有权解除合同,保险合同中止,D
14,投保人故意或者因重大过失未履行保险法规定的如实告知义务，足以影响保险人决定是否同意承保或者提高保险费率的，保险人（）解除合同。,与投保人协商,与被保险人协商,无权,有权,D
15,国内水路、陆路货物运输保险基本险的保险责任不包括（    ）。,共同海损费用,运输工具发生碰撞造成的损失,遭受盗抢的损失,地震造成的损失,C
16,在客户服务中，保险人为客户提供的契约保全、保险赔付等服务活动属于（   ）,售前服务,售中服务,售后服务,附加服务,C
17,在保险年金保险中，以两个或两个以上被保险人的生存做为年金给付条件，且给付持续到最大发生的死亡时为止的年金保险是（   ）,个人年金,联合及生存者年金,最后生存者年金,联合年金,C
