id,question,A,B,C,D,answer
0,私行代销产品类型有____。,股票类,混合类,权益类,固定收益类,BCD
1,一般情况下，下列账户的期末余额应列入资产负债表中流动负债类的有【】。,长期股权投资,预付款项,其他应付款,应付账款,CD
2,金融科技2.0时代最具代表性的产物包括,第三方支付,网络借贷,互联网保险,区块链,ABC
3,惠农e贷按照审批方式分为____和____。,自动审批惠农e贷,人工审批惠农e贷,线上审批惠农e贷,线下审批惠农e贷,AB
4,根据抽样调查数据对某商品的价格和销售收入进行回归分析，得到估计量的一元线性回归模型y=1200-10x（x商品价格，y为商品销售收入），关于该回归模型的说法，说法正确的是【】。,商品价格每减少1元，商品销售收入平均增长10元,商品价格每增加1元，商品销售收入平均增长10元,商品价格每增加1%，商品销售收入平均增长10%,当商品价格为20元时，商品销售收入将为1000元,AD
5,商城运营风险包括（）。,操作风险,声誉风险,法律风险,人身安全风险,ABC
6,智能定投是一种自动基金申购业务，以下描述正确的是,不定期,定产品,不定投资金额,定期,BCD
7,以下哪类服务只可通过企业掌银办理,开户意愿视频核实,经营地址在线核实,回单二维码验证,发票管理,AB
8,全面丰富线上用户运营手段包括________。,做活品牌运营,做精活动运营,做透产品运营,做宽内容运营,ABCD
9,经济增长的三因素分解法是运用生产函数，把经济增长按照【】三个因素进行分解，计算三个因素对经济增长的贡献份额。,劳动投入,生产技术,资本投入,全要素生产率,ACD
10,根据《中华人民共和国劳动合同法》，下列情形中，用人单位可以与劳动者解除劳动合同的是【】。,劳动者在试用期间被证明不符合录用条件的,劳动者被依法追究刑事责任的,劳动者因工负伤并被确认丧失劳动能力的,因劳动者过错致使劳动合同无效的,ABD
11,农户小额贷款（线下）可支持的客户范围包括____。,农户,在农村地区创业展业的客户,在城市地区从事涉农行业生产经营的客户,因县改区或村改居导致农户身份改变的客户,ABCD
12,下列货币当局资产负债表项目中，属于负债项目的有【】。,储备货币,对政府债权,政府存款,自有资金,ACD
13,根据《证券发行上市保荐业务管理办法》，保荐代表人出现下列（　　）情形之一的，中国证监会撤销其保荐代表人资格。,在保荐文件上签字，但未参加尽职调查工作,持有发行人股份,未参加辅导工作,协助发行人干扰发审委的审核工作,AB
14,按照国际劳工组织的统计标准，凡是在规定年龄内在一定期间内满足【】情况的均属于失业人口。,没有工作,当前可以工作,正在寻找工作,自己开网店,ABC
15,欺诈风险控制的手段中，以下认识正确的是,网络金融业务办理时必须识别客户身份，并根据客户实名程度额风险级别等情况实施差异化的权限控制。,网络金融业务运营期间，总行负责对全行性业务实施监控，分行本地特色业务必须由总行实施监控。,网络金融业务在上线后，应定期开展渗透性安全测试，及时发现并修复漏洞隐患。,客户交易要有清晰的留痕记录，数据信息应视重要程度留存，有些客户隐私信息无需客户同意即可提供给第三方。,AC
16,综合收银台二级商户支持绑定____、____、____类型的收款账户。,农行借记卡,建行贷记卡,农行对公户,工行对公户,ACD
17,支付机构不得损害国家利益、社会公共利益和客户合法权益，应当遵循哪些原则？,安全,盈利,诚信,公平竞争,ACD
18,商户收到客户退回的商品后应在7日内对售后申请进行处理，处理结果包含：（）等，不得在未经客户同意后无故驳回或变更处理结果（如客户申请商品换货，商户审核修改为商品退货）。,退款,换新,原返,线下换新,ABCD
19,公开发行证券信息披露的方式主要包括（    ）。,刊登在中国证监会指定的网站,刊登在中国证监会指定的报刊,置备于中国证监会指定的场所,按照规定向中国证监会和交易所报送相关材料,ABC
20,C位出道白金卡可享受以下哪些权益,透支利率7折,最低还款额5%,1元机场停车,1元机场贵宾CIP快速安检及休息室,ABCD
21,下列属于证券业从业人员诚信信息记录中的奖励信息的有（　　）。,受到中国证监会、中国证券业协会的表彰、奖励的情况,受到上海、深圳证券交易所的表彰、奖励的情况,受到地方证券业协会的表彰、奖励的情况,受到所在机构及其他有关部门和组织表彰、奖励的情况,ABCD
22,产品创新，指银行因市场需求、经营需要等情况而创造或改善产品的活动。产品创新可分为以下哪几类。,全新产品,现有产品优化升级,现有产品组合或优化,现有产品重大改动,ACD
23,金融科技3.0阶段从2017年开始，主要通过人工智能、大数据、互联技术、分布式技术、安全技术等技术，深刻改变传统的（    ）以及金融中介地位等。,银行管理模式,金融信息来源,业务模式,风控方式,BCD
24,证券公司在开展经纪业务过程中，诱导无风险承受能力的客户进行股票交易，中国证监会派出机构将视情况依法采取（ ）。,监管谈话,责令处分有关人员,出具警示函,处以10万元以上30万元以下的罚款,ABC
25,商城巡检包括对（）进行巡检。,商户,频道,店铺,商品和信息,ABCD
26,推进数字化转型，要加快实施___+___双模的产品研发模式。,敏捷,模块化,组件化,瀑布,AD
27,因商户商品无货无法发出，客户不同意取消订单仍要求发货的，商户应在自分行判责时起（）内为客户发货并提供发货快递单号，若客户无法在判责后（）内查询到订单的快递公司揽件跟踪信息，则分行有权认定该商品无货并下架该商品。,3日,5日,7日,10日,BC
28,记账凭证账务处理程序的特点包括【】。,简单明了，易于理解,登记总分类账的工作量较大,适用于规模较小，经济业务量较少的单位,便于了解账户之间的对应关系,ABC
29,美国经济学家科斯提出的企业理论的主要观点是【】。,企业是为了节约市场交易费用而产生的,企业的本质是作为市场机制或价格机制的替代物,信息不完全性是导致市场机制和企业交易费用不同的主要因素,企业可以使一部分市场交易内部化，从而降低交易费用,ABCD
30,有限责任公司的监事会由【】组成。,股东代表,董事,经理,公司职工代表,AD
31,发生下列（      ）事项时发行人应聘请具有保荐机构资格的证券公司履行保荐职责。,首次公开发行股票并上市,上市公司发行新股、可转换公司债券,增资扩股,配股,AB
32,打造线上优质产品集群的具体措施有________。,做强网络支付产品,做精线上信贷产品,做强网络理财产品,推进数字货币应用试点,ABCD
33,下列物权中，属于从物权的有【】。,抵押权,留置权,地役权,质权,ABCD
34,预测标签是基于用户的哪些特征，来挖掘用户潜在需求的,属性,行为,信令,位置,ABCD
35,反映一定时期企业经营成果的会计要素有【】。,收入,费用,投资,利润,ABD
36,下列属于基金份额持有人义务的是（　　）。,保管基金资产,遵守基金契约,缴纳基金认购款项及规定费用,不从事任何有损基金及其他基金投资人合法权益的活动,BCD
37,农银快e付使用了哪些安全认证方式。,K宝,K令,短信验证码,生物识别,ABCD
38,综合收银台是我行为网络平台商户提供的集____、____、____、____于一体的综合性支付结算解决方案。,聚合支付,二级商户管理,资金分账,提现出金和相关增值服务,ABCD
39,证券公司向客户推介金融产品时，为评估其购买金融产品的适当性，应当了解的客户基本情况有,风险偏好,投资目标,身份、财产和收入状况,金融知识和投资经验,ABCD
40,掌银私行代销模块中具有“即将起售”标识的产品，同步可查看以下哪些信息____。,认购期第一天,当前时间距离认购期第一天剩余天数,下一开放期第一天,当前时间距离下一开放期第一天剩余天数,AB
41,下列项目中，从短期来看，属于企业可变成本的有【】。,原材料费用,燃料和动力费用,厂房和设备折旧,生产工人的工资,ABD
42,以下关于军人白金信用卡叙述错误的是____。,享受境外豪华车机场接送,享受中国银联白金卡平台性服务权益,有效消费可获1.5倍积分,享受行政管家服务,ACD
43,农户小额贷款（线下）可使用____方式。,保证担保,抵押担保,质押担保,信用方式,ABCD
44,以下哪些是金融科技3.0阶段的代表性技术,5G,VR/AR,人工智能,区块链,ABCD
45,以下关于悠然白金卡的功能，叙述正确的是____。,网点贵宾,长期免年费,最高20万额度,同城本行提取超额存款手续费,AD
46,根据《中华人民共和国商标法》，禁止作为商标使用的标志包括【】。,国家国徽标志,“红十字”标志,近似军旗图形的标志,带有动物图形的标志,ABC
47,向银行类客户开展代签银行承兑汇票业务营销时，表述错误的是______。,该业务不需要在开立我行开立同业结算账户,金融机构客户应符合准入要求,金融机构客户对企业应付票据承担连带责任保证,该业务纳入金融机构客户统一授信管理,BCD
