id,question,A,B,C,D,answer
0,某消费者反映，在某县电视台打广告的“GO!GO!MAMACHEN”牌保健品，广告称服用  该产品可以显著増强免疫力，绝无副作用，但消费者在服用后，出现脱发等症状。经官方授  权的卫生检验检疫部门认定，脱发等症状是由于服用该保健品造成的。购买该保健品的消费  者多达 155 人。下列选项中，（ ）可以向人民法院起诉，以保护消费者的合法权益。,该县的消费者协会,中国消费者协会,全国保健品消费者保护联盟,检察院,B
1,2021年全行客户协同发展计划（农银办发〔2021〕74号）包括网络金融业务的个人掌银月活跃客户数、________和互联网场景高频客户数指标。,互联网场景数,互联网场景客户数,新开卡数,互联网高频场景数,D
2,我国居民企业所得税的基本税率为【】。,0.15,0.25,0.35,不固定,D
3,某企业本年度营业收入为3000万元，销售退回300万元，销售折让200万元，期初应收账款余额为400万元，期末应收账款余额为600万元，则该企业应收账款周转天数为【】天。,75,72,77,70,B
4,关于网捷贷，以下说法正确的是,单笔贷款最低为5千元,贷款额度不可循环,贷款期限可以延长超过一年,客户可以自助用款,D
5,建设智慧营销体系不包括,打造统一、完整、清晰的360度客户视图,以“获客、活客、留客”为根本出发点，推进“千人千面”的大数据精准营销,增强客服远程协同服务能力，建立健全全渠道一体化运营机制,基本实现客户需求的实时感知、产品服务的精准匹配、客户体验的根本改善，产品交叉销售率明显提升,C
6,即将开放的产品，指当前日期距离下一开放期第一天在____个工作日（含）以内的产品，显示“即将开放”标识。,1,2,3,5,C
7,对需求单位在年度计划外新增的项目，根据授权管理制度和行长授权文件，经有权审批人审批后，向____会提交项目方案。,线上营销项目审查委员会,网络金融部,营销项目实施团队,董事会,A
8,6万亿元，截至该年年末国债累计余额为8万亿元，国内生产总值为40万亿元，财政支出为10万亿元测该国2020年国债负担率为【】。,0.1,0.16,0.2,0.25,C
9,以下哪类客户不属于银企直联的客户群体,大型客户,中型客户,跨境电商,小微客户,D
10,企业在进行会计确认、计量和报告时采用的主要计量单位是【】。,货币,实物数量,重量,长度,A
11,某客户欲购买我行代销的实物贵金属产品，则可通过____业务办理。,存金通,传世之宝实物黄金买卖,代销企业实物贵金属,金市通（金交所代理）,C
12,兴农商城入驻指引中规定“所售商品通过‘三品一标’中至少（）类认证（无公害农产品、绿色食品、有机农产品和农产品地理标志）”可以作为商户申请入驻兴农商城的补充条件。,1,2,3,4,A
13,交易动机和预防动机构成【】，由获得的收入多少决定，是国民收入的增函数。,投机性需求,交易性需求,投资性需求,一般性需求,B
14,某企业2013——2019年销售收人的年平均增长速度是27.6%，这期间相应的年平均发展速度是【】。,0.046,0.176,1.276,0.724,C
15,【】可以给出数值距离均值的相对位置，用来比较不同变量的取值。,偏态系数,离散系数,标准分数,标准差,C
16,网络金融业务运营期间，总行负责对____实施监控。,全行性业务,区域性业务,市区业务,农村业务,A
17,商户收到客户退回的商品后，且同意客户退货退款要求，审核过程中如需要扣除客户款项进行退款（如扣除商品部分款，扣除运费等），应征得（）的同意。,商户,客户,远程银行中心,分行,B
